,所属城市,所属城市英文,机场名称,机场英文名称,三字代码,四字代码,标准地址,国家,省份,城市,经度,纬度
11,西安,Xianyang,西安咸阳国际机场,Xi'an Xianyang International Airport,XIY,ZLXY,陕西省咸阳市渭城区西安咸阳国际机场,中国,陕西省,西安市,108.764882,34.438179
12,长春,Changchun,长春龙嘉国际机场,Longjia Airport,CGQ,ZYCC,吉林省长春市二道区龙嘉国际机场,中国,吉林省,长春市,125.691927,43.995883
13,南京,Nanjing,南京禄口国际机场,Nanjing Lukou Airport,NKG,ZSNJ,南京禄口国际机场,中国,江苏省,南京市,118.876825,31.730607
14,郑州,Zhengzhou,郑州新郑国际机场,Xinzheng Airport,CGO,ZHCC,河南省郑州市新郑市新郑国际机场,中国,河南省,郑州市,113.854153,34.526221
15,济南,Jinan,济南遥墙国际机场,Yaoqiang Airport,TNA,ZSJN,山东省济南市历城区遥墙国际机场,中国,山东省,济南市,117.217247,36.856575
16,南昌,Nanchang,南昌昌北国际机场,Nanchang Changbei International Airport,KHN,ZSCN,江西省南昌市新建区昌北国际机场,中国,江西省,南昌市,115.90675,28.840884000000003
17,南宁,Nanning,南宁吴圩国际机场,Nanning Wuxu Airport,NNG,ZGNN,广西壮族自治区南宁市江南区吴圩国际机场,中国,广西壮族自治区,南宁市,108.17966399999999,22.606401
18,贵阳,Guiyang,贵阳龙洞堡国际机场,Longdongbao Airport,KWE,ZUGY,贵州省贵阳市南明区龙洞堡国际机场,中国,贵州省,贵阳市,106.803004,26.537238000000002
19,海口,Haikou,海口美兰国际机场,Haikou Meilan International Airport,HAK,ZJHK,海南省海口市美兰区美兰国际机场,中国,海南省,海口市,110.464519,19.936119
20,合肥,Hefei,合肥新桥国际机场,Hefei Luogang International Airport,HFE,ZSOF,安徽省合肥市蜀山区新桥国际机场,中国,安徽省,合肥市,116.977428,31.986695
21,哈尔滨,Harbin,哈尔滨太平国际机场,Harbin Taiping International Airport,HRB,ZYHB,黑龙江省哈尔滨市道里区太平国际机场,中国,黑龙江省,哈尔滨市,126.25317,45.627249
22,武汉,Wuhan,武汉天河国际机场,Wuhan Tianhe International Airport,WUH,ZHHH,湖北省武汉市黄陂区天河国际机场,中国,湖北省,武汉市,114.217693,30.771181
23,珠海,Zhuhai,珠海金湾机场,Zhuhai Airport,ZUH,ZGSD,广东省珠海市金湾区金湾机场,中国,广东省,珠海市,113.383334,22.009415
24,沈阳,Shenyang,沈阳桃仙国际机场,Taoxian Airport,SHE,ZYTX,辽宁省沈阳市浑南区桃仙国际机场,中国,辽宁省,沈阳市,123.49508600000001,41.639297
25,宁波,Ningbo,宁波栎社国际机场,Ningbo Lishe International Airport,NGB,ZSNB,浙江省宁波市海曙区栎社国际机场,中国,浙江省,宁波市,121.466848,29.8226
26,福州,Fuzhou,福州长乐国际机场,Fuzhou Changle International Airport,FOC,ZSFZ,福建省福州市长乐区长乐国际机场,中国,福建省,福州市,119.669936,25.930966
27,三亚,Sanya,三亚凤凰国际机场,Sanya Phoenix International Airport,SYX,ZJSY,海南省三亚市天涯区凤凰国际机场,中国,海南省,三亚市,109.414973,18.303883
28,厦门,Xiamen,厦门高崎国际机场,Xiamen Gaoqi International Airport,XMN,ZSAM,福建省厦门市湖里区高崎国际机场,中国,福建省,厦门市,118.13705300000001,24.539473
29,兰州,Lanzhou,兰州中川国际机场,Lanzhou Zhongchuan Airport,LHW,ZLAN,甘肃省兰州市永登县中川国际机场,中国,甘肃省,兰州市,103.618562,36.507307
30,银川,Yinchuan,银川河东国际机场,Yinchuan Hedong International Airport,INC,ZLIC,宁夏回族自治区银川市灵武市银川河东国际机场,中国,宁夏回族自治区,银川市,106.39278600000002,38.321957
31,乌鲁木齐,Urumqi,乌鲁木齐地窝堡国际机场,Urumqi Diwopu International Airport,URC,ZWWW,新疆维吾尔自治区乌鲁木齐市新市区地窝堡国际机场,中国,新疆维吾尔自治区,乌鲁木齐市,87.481397,43.906552000000005
